iter	Passed	Remaining
0	69	69718
1	131	65550
2	188	62664
3	253	63053
4	308	61386
5	364	60423
6	423	60017
7	486	60265
8	544	59911
9	598	59255
10	657	59128
11	713	58724
12	773	58742
13	828	58343
14	889	58400
15	944	58064
16	1008	58340
17	1065	58145
18	1123	57984
19	1186	58116
20	1249	58266
21	1307	58123
22	1366	58067
23	1422	57850
24	1483	57855
25	1546	57942
26	1605	57852
27	1664	57773
28	1721	57636
29	1781	57609
30	1841	57569
31	1904	57623
32	1963	57540
33	2029	57672
34	2096	57790
35	2157	57770
36	2218	57743
37	2279	57713
38	2341	57695
39	2409	57839
40	2475	57914
41	2539	57929
42	2599	57861
43	2664	57902
44	2724	57818
45	2787	57818
46	2851	57821
47	2914	57812
48	2978	57797
49	3038	57734
50	3100	57687
51	3160	57610
52	3223	57597
53	3289	57625
54	3372	57946
55	3444	58063
56	3518	58210
57	3586	58245
58	3664	58452
59	3735	58525
60	3803	58553
61	3875	58636
62	3947	58717
63	4010	58648
64	4084	58753
65	4154	58793
66	4230	58909
67	4294	58858
68	4364	58891
69	4428	58835
70	4496	58834
71	4568	58880
72	4636	58880
73	4708	58918
74	4777	58923
75	4847	58930
76	4914	58914
77	4983	58902
78	5053	58910
79	5127	58963
80	5193	58928
81	5260	58893
82	5327	58858
83	5396	58852
84	5471	58903
85	5540	58882
86	5608	58856
87	5674	58806
88	5739	58749
89	5809	58741
90	5874	58677
91	5939	58620
92	6008	58594
93	6077	58577
94	6140	58500
95	6217	58546
96	6287	58534
97	6345	58408
98	6413	58367
99	6475	58281
100	6544	58254
101	6609	58185
102	6675	58137
103	6734	58022
104	6804	57996
105	6867	57919
106	6930	57841
107	6988	57719
108	7054	57662
109	7114	57564
110	7189	57577
111	7247	57462
112	7306	57350
113	7370	57284
114	7436	57226
115	7496	57126
116	7559	57049
117	7626	57002
118	7693	56955
119	7763	56931
120	7827	56860
121	7890	56785
122	7961	56766
123	8028	56715
124	8089	56623
125	8151	56541
126	8223	56530
127	8295	56514
128	8361	56458
129	8426	56390
130	8499	56384
131	8574	56385
132	8639	56316
133	8702	56240
134	8766	56172
135	8828	56089
136	8896	56042
137	8960	55972
138	9024	55897
139	9090	55841
140	9150	55744
141	9219	55707
142	9289	55673
143	9359	55638
144	9429	55601
145	9486	55487
146	9556	55451
147	9618	55371
148	9683	55306
149	9751	55255
150	9814	55184
151	9877	55104
152	9940	55027
153	10006	54972
154	10074	54920
155	10149	54908
156	10206	54805
157	10269	54726
158	10337	54679
159	10410	54655
160	10470	54565
